,City,Reporting Period,Total emissions (metric tonnes CO2e),GHG/Capita, Population ,Year Reported,Methodology/Protocol,CityName,Country,Region,City Location
542,Tokyo Metropolitan Government,2013,70733403.0, 5.183 ,13646764.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Tokyo,Japan,East Asia,"(35.6896342, 139.6921007)"
543,Tokyo Metropolitan Government,2014,70125000.0, 5.189 ,13513734.0,2016,"The guideline set by the Ministry of environmnet , Japan",Tokyo,Japan,East Asia,"(35.6896342, 139.6921007)"
544,Tokyo Metropolitan Government,2015,61233101.0, 4.419 ,13857664.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Tokyo,Japan,East Asia,"(35.6896342, 139.6921007)"
545,Tokyo Metropolitan Government,2016,57996872.0, 4.185 ,13857443.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Tokyo,Japan,East Asia,"(35.6896342, 139.6921007)"
546,Tokyo Metropolitan Government,2017,57176147.0, 4.098 ,13951636.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Tokyo,Japan,East Asia,"(35.6896342, 139.6921007)"
381,Government of Hong Kong Special Administrative Region,2014,44900000.0, 6.120 ,7336600.0,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Hong Kong,Hong Kong,East Asia,"(22.2880809, 114.1398015)"
380,Government of Hong Kong Special Administrative Region,2012,42700000.0, 5.845 ,7305700.0,2016,"We made reference to the ""2006 IPCC Guidelines for National Greenhouse Gas Inventories"".",Hong Kong,Hong Kong,East Asia,"(22.2880809, 114.1398015)"
383,Government of Hong Kong Special Administrative Region,2016,40222676.0, 5.398 ,7451000.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Hong Kong,Hong Kong,East Asia,"(22.2880809, 114.1398015)"
382,Government of Hong Kong Special Administrative Region,2015,39841930.0, 5.390 ,7391700.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Hong Kong,Hong Kong,East Asia,"(22.2880809, 114.1398015)"
384,Government of Hong Kong Special Administrative Region,2018,38880267.0, 5.179 ,7507400.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Hong Kong,Hong Kong,East Asia,"(22.2880809, 114.1398015)"
499,Región Metropolitana de Santiago,2013,28406420.0, 4.352 ,6527903.0,2017,2006 IPCC Guidelines for National Greenhouse Gas Inventories,Santiago,Chile,Latin America,"(-33.44889, -70.669265)"
500,Región Metropolitana de Santiago,2016,23173131.0, 2.852 ,8125072.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Santiago,Chile,Latin America,"(-33.44889, -70.669265)"
498,Región Metropolitana de Santiago,2013,23120028.0, 3.161 ,7314176.0,2016,"GPC was used for organizing information, while for the estimation of emissions (equations and emission factors) the IPCC guidelines was used.",Santiago,Chile,Latin America,"(-33.44889, -70.669265)"
102,City of Cape Town,2012,22643846.0, 5.778 ,3918830.0,2016,"During 2014 the City updated its energy profile and released a State of Energy Report in 2015 (based on 2012 data year). All data provided in this CDP submission is based on this report. The process includes: A baseline data collection was collected from the following 5 sectors. Residential Sector: disaggregated according to electrified and non-electrified by income category. Commercial Sector: including retail and office buildings, tourism activities, education facilities, hospitals, and other non-industrial activities. Industrial Sector: disaggregated into textiles, food and beverages, non-food manufacturing sub-sectors and other industrial activities. Local Government: all municipal operations, namely council buildings, street and traffic lights, water and wastewater treatment works and municipal vehicle fleet. Transport Sector: disaggregated into freight, private vehicle and public transport (bus,minibus taxi and train) The City's GHG account/inventory for its most recent State of Energy Report (Report released in 2015 based on 2012 data year) is based on the Global Protocol for Community-Scale Greenhouse Gas Emissions Reporting Draft v2 (GPC). Emissions factors draw on those of the IPCC (web based and regularly updated) for South Africa, as well as Eskom for local electricity emissions factors. In the Cape Town GPC summary table provided, Scope 1 includes all emissions that physically take place within the Cape Town area. This includes liquid fuels consumed and coal. Even if that liquid fuel is moved out of the area, it is still accounted for as per point of sale. This scope includes the emissions from Ankerlig and Acacia power stations (Energy supplied to the grid - territorial); but these are removed in the final balance for Cape Town as per protocol (this is accounted for within national electricity production accounts of Eskom). Scope 2 includes emissions from electricity produced elsewhere in the country, but consumed in Cape Town. This column accounts for the majority of these emissions, but a small portion are recorded in Scope 3, reflecting that component of the emissions factor that relates to Transmission and distribution (i.e. from power station to municipal boundary; and amounting to 0.04 of the 1.03 emissions factor). Also included within the category energy industries is the municipal distribution losses.",Cape Town,South Africa,Africa,"(-33.9253, 18.4239)"
104,City of Cape Town,2016,21509138.0, 5.152 ,4174510.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Cape Town,South Africa,Africa,"(-33.9253, 18.4239)"
103,City of Cape Town,2015,21233880.0, 5.292 ,4012441.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Cape Town,South Africa,Africa,"(-33.9253, 18.4239)"
105,City of Cape Town,2017,21145125.0, 5.006 ,4223565.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Cape Town,South Africa,Africa,"(-33.9253, 18.4239)"
468,New Taipei City Government,2016,20144995.0, 5.053 ,3986689.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),New Taipei ,Taiwan,East Asia,"(25.0111, 121.4458)"
90,City of Buenos Aires,2014,19667128.0, 6.439 ,3054267.0,2016,"The GHG emissions are calculated by the Buenos Aires EPA Climate Change team using, primarily, IPCC methodology and reporting based on the city-induced framework of the GCP protocol. The city has already completed the BASIC approach.",Buenos Aires,Argentina,Latin America,"(-34.6037232, -58.3815931)"
469,New Taipei City Government,2018,19464204.0, 4.843 ,4018696.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),New Taipei ,Taiwan,East Asia,"(25.0111, 121.4458)"
99,City of Calgary,2018,18438546.0, 14.549 ,1267344.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Calgary,Canada,North America,"(51.048615, -114.070846)"
98,City of Calgary,2017,18378045.0, 14.747 ,1246231.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Calgary,Canada,North America,"(51.048615, -114.070846)"
467,New Taipei City Government,2016,18235086.0, 4.574 ,3986689.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",New Taipei ,Taiwan,East Asia,"(25.0111, 121.4458)"
96,City of Calgary,2015,18207232.0, 15.123 ,1203915.0,2016,This is the first year using this protocol. The inventory was completed to a BASIC level.,Calgary,Canada,North America,"(51.048615, -114.070846)"
100,City of Calgary,2019,18042522.0, 14.033 ,1285711.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Calgary,Canada,North America,"(51.048615, -114.070846)"
97,City of Calgary,2016,17679137.0, 14.314 ,1235055.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Calgary,Canada,North America,"(51.048615, -114.070846)"
466,New Taipei City Government,2014,17233924.0, 4.345 ,3966818.0,2016,"GHG Protocol is working to give cities the standards and tools they need to measure their emissions, build more effective emissions reduction strategies, set measurable and more ambitious emission reduction goals, and to track their progress more accurately and comprehensively.",New Taipei ,Taiwan,East Asia,"(25.0111, 121.4458)"
145,City of Edmonton,2014,16576702.0, 18.880 ,878000.0,2016,"Each year we manually collect empirical utility use information from the utilities for natural gas and electricity used within the geographic border of the City of Edmonton. This information is provided to us in various reporting categories such as residential, commercial and industrial. We are now receiving this information at the finest level of granularity that can be provided from the utilities. Propane fuel use for transportation is taken from Statistics Canada as recorded for the Province of Alberta, and then prorated according to the population of Edmonton compared to the population of Alberta. The diesel and gasoline use in litres is done in a similar fashion, but the information in this case is provided to us from the Alberta provincial government. The natural gas consumption in vehicles is received directly from the natural gas distributor. The conversion factors are derived from various sources: electricity grid intensity comes from Statistics Canada - this factor, is always two years behind the calendar year; natural gas and liquid fuels from US Environmental protection Agency, or Natural Resources Canada references, and the local utilities. The data is input manually each year into an excel spreadsheet model, and the conversion factors are checked for updates each year. Reports on the results are sent out on an as needed, customized basis.",Edmonton,Canada,North America,"(53.544389, -113.4909267)"
148,City of Edmonton,2018,15936756.0, 16.262 ,980000.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Edmonton,Canada,North America,"(53.544389, -113.4909267)"
147,City of Edmonton,2017,15411583.0, 16.223 ,950000.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Edmonton,Canada,North America,"(53.544389, -113.4909267)"
562,Ville de Montreal,2009,13722942.0, 7.274 ,1886481.0,2016,"2006 IPCC Guidelines for National Greenhouse Gas Inventories AND Guide d'inventaire des émissions de gaz à effet de serre d'un organisme municipal (MDDEP, 2009)",Montreal,Canada,North America,"(45.5086699, -73.5539925)"
65,City of Austin,2013,13700000.0, 15.424 ,888204.0,2016,,Austin,USA,North America,"(30.2672, -97.7431)"
146,City of Edmonton,2015,13357063.0, 14.958 ,893000.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Edmonton,Canada,North America,"(53.544389, -113.4909267)"
92,City of Buenos Aires,2015,13193864.0, 4.313 ,3059122.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Buenos Aires,Argentina,Latin America,"(-34.6037232, -58.3815931)"
91,City of Buenos Aires,2015,13113673.0, 4.537 ,2890151.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Buenos Aires,Argentina,Latin America,"(-34.6037232, -58.3815931)"
93,City of Buenos Aires,2016,13100079.0, 4.282 ,3059122.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Buenos Aires,Argentina,Latin America,"(-34.6037232, -58.3815931)"
66,City of Austin,2013,13001831.0, 14.244 ,912791.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Austin,USA,North America,"(30.2672, -97.7431)"
67,City of Austin,2016,12527277.0, 9.895 ,1265974.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Austin,USA,North America,"(30.2672, -97.7431)"
69,City of Austin,2018,11998240.0, 12.443 ,964254.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Austin,USA,North America,"(30.2672, -97.7431)"
68,City of Austin,2017,11524547.0, 9.392 ,1227000.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Austin,USA,North America,"(30.2672, -97.7431)"
14,Auckland Council,2013,10472155.0, 6.671 ,1569900.0,2016,Version 1 (published in 2014),Auckland ,New Zealand,South Asia and Oceania,"(-36.815328, 174.741788)"
564,Ville de Montreal,2014,10384940.0, 5.347 ,1942044.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Montreal,Canada,North America,"(45.5086699, -73.5539925)"
20,Ayuntamiento de Madrid,2013,10257048.0, 3.249 ,3156572.0,2016,,Madrid,Spain,Europe,"(40.1076253, -3.3875673)"
565,Ville de Montreal,2015,10223546.0, 5.038 ,2029379.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Montreal,Canada,North America,"(45.5086699, -73.5539925)"
563,Ville de Montreal,2013,10197555.0, 5.203 ,1959987.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Montreal,Canada,North America,"(45.5086699, -73.5539925)"
23,Ayuntamiento de Madrid,2017,9738746.0, 2.982 ,3266126.0,2020,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Madrid,Spain,Europe,"(40.1076253, -3.3875673)"
22,Ayuntamiento de Madrid,2016,9443598.0, 2.932 ,3221000.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Madrid,Spain,Europe,"(40.1076253, -3.3875673)"
21,Ayuntamiento de Madrid,2014,9236196.0, 2.917 ,3165883.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Madrid,Spain,Europe,"(40.1076253, -3.3875673)"
15,Auckland Council,2014,8388416.0, 5.196 ,1614400.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Auckland ,New Zealand,South Asia and Oceania,"(-36.815328, 174.741788)"
16,Auckland Council,2015,7750281.0, 4.677 ,1657200.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Auckland ,New Zealand,South Asia and Oceania,"(-36.815328, 174.741788)"
17,Auckland Council,2016,7551034.0, 4.677 ,1614400.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Auckland ,New Zealand,South Asia and Oceania,"(-36.815328, 174.741788)"
79,City of Boston,2015,6462495.0, 9.653 ,669469.0,2017,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Boston,USA,North America,"(42.3584308, -71.0597732)"
81,City of Boston,2017,6146099.0, 8.998 ,683015.0,2019,Global Protocol for Community Greenhouse Gas Emissions Inventories (GPC),Boston,USA,North America,"(42.3584308, -71.0597732)"
80,City of Boston,2016,6116644.0, 9.091 ,672840.0,2018,"Global Protocol for Community-Scale Greenhouse Gas Emissions Inventories (GPC), (WRI, C40 and ICLEI)",Boston,USA,North America,"(42.3584308, -71.0597732)"
78,City of Boston,2014,6066182.0, 9.390 ,646000.0,2016,"For its inventory, the City of Boston relies on a mix of actual measurements and modeled calculations. Actual measurements are available for electricity, natural gas, and steam (obtained directly from energy utilities), and all sources related to mass transit, the airport, and water and sewer (obtained from the regional authorities). Regional transportation models are used to calculate vehicle-miles-traveled in Boston, which are then split into diesel and gasoline based on the State diesel and gas consumption split. Then each fuel type is divided into the average fleet mix categories (ICLEI 2009) and the EPA emissions factor for each vehicle type are applied to calculate the GHG. A 10% ethanol content for gasoline is also accounted for. Fuel oil consumption is estimated based on sampling, U.S. Census data, and some state consumption figures.",Boston,USA,North America,"(42.3584308, -71.0597732)"
